許可證字號,註銷狀態,註銷日期,註銷理由,有效日期,發證日期,許可證種類,舊證字號,通關簽審文件編號,中文品名,英文品名,適應症,劑型,包裝,藥品類別,管制藥品分類級別,主成分略述,申請商名稱,申請商地址,申請商統一編號,製造商名稱,製造廠廠址,製造廠公司地址,製造廠國別,製程,異動日期,用法用量,包裝與國際條碼
"內衛藥製字第006532號","","","","2028/05/25","1970/07/25","製　劑","17006522","DHY01200653204","持續性荷爾蒙－Ｍ針","DEPOT HORMON-M INJECTION","性腺機能減退、男子更年期障礙","注射劑","小瓶","","","TESTOSTERONE CYPIONATE ( CYCLOPENTYLPROPIONATE)","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","大豐製藥股份有限公司","彰化市延平里岸頭巷１１號","","TW","","2023/04/06","",""
"內衛藥製字第006650號","","","","2028/07/27","1970/07/27","製　劑","01007129","DHY01200665000","""南光""氰鈷胺明注射液１０００微克/毫升","CYANOCOBALAMIN INJECTION 1000MCG/ML ""N.K.""","惡性貧血症、出血性貧血、具有神經合併症之惡性貧血、巨紅血球性貧血、巨胚紅血球性貧血、維他命Ｂ１２缺乏症","注射劑","玻璃安瓿裝;;盒裝","","","CYANOCOBALAMIN (VIT B12)","南光化學製藥股份有限公司","臺南市新化區全興里中山路1001號、1001-1號","69275313","南光化學製藥股份有限公司","台南市新化區中山路1001號、1001之1號","","TW","","2025/06/06","通常成人一回10-2000mcg分1-3次注射於皮下或肌肉或靜脈注射。",""
"內衛藥製字第006711號","","","","2028/05/25","1970/07/27","製　劑","00000000","DHY01200671104","抗血液凝固枸櫞酸鹽葡萄糖液－甲","A C D SOLUTION-A","血液保存劑","注射劑","塑膠軟袋裝;;塑膠安瓿裝","","","SODIUM CITRATE (SODIUM CITRATE TRIBASIC);;CITRIC ACID;;DEXTROSE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","安星製藥股份有限公司","新竹縣新豐鄉鳳坑村坑子口６７３號","","TW","500 mL塑膠軟袋裝","2023/07/27","",""
"內衛藥製字第006711號","","","","2028/05/25","1970/07/27","製　劑","00000000","DHY01200671104","抗血液凝固枸櫞酸鹽葡萄糖液－甲","A C D SOLUTION-A","血液保存劑","注射劑","塑膠軟袋裝;;塑膠安瓿裝","","","SODIUM CITRATE (SODIUM CITRATE TRIBASIC);;CITRIC ACID;;DEXTROSE","信東生技股份有限公司","桃園市桃園區介壽路２２號","43211700","信東生技股份有限公司","桃園市桃園區介壽路２２號","","TW","500 mL塑膠軟袋裝","2023/07/27","",""
"內衛藥製字第006715號","","","","2028/05/25","1970/07/27","製　劑","12007672","DHY01200671502","潔喉片","MISHICOPAL TROCHES","咽喉痛及發炎之緩解。","錠劑","盒裝","","","CETYLPYRIDINIUM CHLORIDE","德山製藥股份有限公司","嘉義縣民雄鄉民雄工業區中山路38號","66372059","臺灣派頓化學製藥股份有限公司","高雄市岡山區為隨里為隨東路五十號","","TW","","2023/06/21","",""
"內衛藥製字第006725號","","","","2027/12/31","1970/07/27","製　劑","","DHY01200672502","""紐約""鹽酸特比倫明錠","TRIPELENNAMINE HCL TABLETS ""N.Y.""","過敏性疾病如：蕁麻疹、皮膚疹、支氣管性氣喘、過敏性鼻炎、乾草熱","錠劑","瓶裝","","","TRIPELENNAMINE HCL","人人化學製藥股份有限公司","桃園市中壢區南園二路３號","30840213","人人化學製藥股份有限公司中壢廠","桃園市中壢區南園二路３號","","TW","","2022/09/12","",""
"內衛藥製字第006732號","","","","2029/12/31","1970/07/27","製　劑","","DHY01200673202","克黴素針","COMYCIN INJECTION","結核、咽頭炎、扁桃腺炎、支氣管炎、肺炎、急、慢性膀胱炎、腎盂炎、尿道炎、淋菌感染症、骨髓炎、一般化膿症","乾粉注射劑","小瓶","","","KANAMYCIN (SULFATE)","人人化學製藥股份有限公司","桃園市中壢區中壢工業區南園二路３號","30840213","政德製藥股份有限公司","雲林縣大埤鄉嘉興村豐田路２號","","TW","","2025/01/20","",""
"內衛藥製字第006851號","","","","2024/12/31","1970/07/28","製　劑","","DHY01200685107","奧巴女蒙注射液５公絲","OVADIOL INJECTION (5 MG)","卵巢機能障礙起因之諸症：無月經、月經不順、月經困難、婦女更年期障礙、卵胞荷爾蒙分泌不足","注射劑","玻璃安瓿裝","","","ESTRADIOL BENZOATE","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","大豐製藥股份有限公司","彰化縣彰化市延平里岸頭巷11號","","TW","","2020/03/09","",""
"內衛藥製字第006854號","","","","2029/12/31","1970/07/28","製　劑","","DHY01200685400","膚益寧注射液","PHENINE-H INJECTION","脂漏性濕疹、落屑性皮膚炎、急、慢性濕疹、蕁麻疹、皮膚搔癢症、唇炎、口角炎、口舌炎、鼻炎、過敏性皮膚疾患","注射劑","玻璃安瓿裝","","","METHIONINE DL-;;BIOTIN;;THIAMINE HYDROCHLORIDE;;PYRIDOXINE HCL;;CHLORPHENIRAMINE MALEATE;;RIBOFLAVIN (VIT B2);;NICOTINAMIDE","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","杏林新生製藥股份有限公司","桃園市龍潭區三和村店湖一路２３７號","","TW","","2025/02/04","",""
"內衛藥製字第006858號","","","","2029/12/31","1970/07/28","製　劑","","DHY01200685808","""東洲"" 維他命丙注射液","VITAMIN C INJECTION ""ORIENTAL""","壞血病、齒齦出血、維他命Ｃ缺乏症","注射劑","玻璃安瓿裝","","","ASCORBIC ACID (VIT C)","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2025/01/23","",""
"內衛藥製字第006862號","","","","2029/12/31","1970/07/28","製　劑","","DHY01200686202","胃舒鎮注射液","MAGENSTIN INJECTION","胃、十二指腸潰瘍之改善","注射劑","盒裝;;玻璃安瓿裝","","","HISTIDINE L- HCL (EQ TO L-HISTIDINE HYDROCHLORIDE)","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2025/01/15","",""
"內衛藥製字第006864號","","","","2024/12/31","1970/07/28","製　劑","","DHY01200686403","奧力血平注射液","ORISERPINE INJECTION","高血壓急症","注射劑","安瓿","","","RESERPINE","東洲化學製藥廠股份有限公司","新北市蘆洲區中山二路195巷12號1-2樓","35220607","壽元化學工業股份有限公司","嘉義市西區新民路128號","","TW","","2019/11/21","",""
