¶O¥Î¦~,ÃÄ«~¥N½X,ÃÄ«~¤ÀÃþ¤À²Õ¦WºÙ,¥Ó³ø°_©l¦~¤ë,¥Ó³øµ²§ô¦~¤ë,Âå¥O¶q_¨k©Ê,Âå¥O¶q_¤k©Ê,Âå¥O¶q_¦X­p,§t¥]»q¤ä¥IªºÂå¥O¶q_¨k©Ê,§t¥]»q¤ä¥IªºÂå¥O¶q_¤k©Ê,§t¥]»q¤ä¥IªºÂå¥O¶q_¦X­p
111,A000015421,SULFAMETHOXAZOLE ¡A ²´¥Î²G¾¯ ¡A 20.00  MG/ML ¡A 5.00 ML,11101,11112,0.0,0.0,0.0,161.0,112.0,273.0
111,A000059100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,11101,11112,0.0,0.0,0.0,0.0,84.0,84.0
111,A0000591G0,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,11101,11112,0.0,0.0,0.0,28.0,112.0,140.0
111,A000072100,EPHEDRINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,11101,11112,1425.5,781.2,2206.7,5657.5,5223.7,10881.2
111,A000076100,ACETAMINOPHEN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 300.00 MG,11101,11112,155867.8,246513.7,402381.5,531600.2,734735.4,1266335.6
111,A000096100,DIPHENHYDRAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,11101,11112,157390.5,172820.0,330210.5,204289.9,229522.7,433812.6
111,A000106100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,4868.0,6325.0,11193.0
111,A0001191G0,METHYLEPHEDRINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,11101,11112,337.0,169.0,506.0,763.0,504.5,1267.5
111,A000137151,GLYCYRRHIZIC ACID 0.12ML/ML + ANTIMONY POTASSIUM TARTRATE 0.24MG/ML¡A ¤fªA²G¾¯¡A 60.00ML,11101,11112,184.3,381.0,565.3,420.3,742.0,1162.3
111,A000138209,TESTOSTERONE ENANTHATE ¡A ª`®g¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,1.0,0.0,1.0
111,A000173100,DEXTROMETHORPHAN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 15.00 MG,11101,11112,2432898.0,2344757.9,4777655.9,2719859.6,2738280.1,5458139.7
111,A000177100,CHLORZOXAZONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,1024.5,1207.0,2231.5
111,A000186100,ESTRADIOL 50MCG + NORGESTREL 500MCG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,11101,11112,0.0,0.0,0.0,0.0,6851.0,6851.0
111,A000199100,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,11101,11112,0.0,0.0,0.0,62.5,47.5,110.0
111,A000208100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,11101,11112,0.0,0.0,0.0,70767.2,91059.5,161826.7
111,A000263277,DEXTROSE¡Ø  50MG/ML  + SODIUM CHLORIDE 3.0-4.5MG/ML¡A ª`®g¾¯¡A 251-500 ML,11101,11112,0.0,0.0,0.0,1.0,0.0,1.0
111,A000373100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,63.0,27.0,90.0
111,A000389100,DIMETHICONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,11101,11112,120441.8,199915.6,320357.4,592727.9,807921.5,1400649.4
111,A000415100,DIMETHICONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,11101,11112,6949011.1,7796914.1,14745925.2,9097628.4,10461755.9,19559384.3
111,A000419229,DEXAMETHASONE ¡A ª`®g¾¯ ¡A 20.00 MG,11101,11112,0.0,0.0,0.0,3.0,8.0,11.0
111,A000428100,BUTYLSCOPOLAMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,11101,11112,0.0,0.0,0.0,36.0,87.0,123.0
111,A000429100,NALIDIXIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,11101,11112,132.0,135.0,267.0,552.0,543.0,1095.0
111,A000480209,EPINEPHRINE ¡A ª`®g¾¯ ¡A 1.00 MG,11101,11112,5.0,0.0,5.0,5.0,0.0,5.0
111,A000506100,NIACINAMIDE (=NICOTINAMIDE) 50.000MG + CALCIUM PHOSPHATE DIBASIC 50.000MG + VITAMIN A (PALMITATE) 2500.000IU + THIAMINE MONONITRATE 10.000MG + RIBOFLAVIN (=VIT B2) 5.000MG + PYRIDOXINE HCL 5.000MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,11101,11112,0.0,0.0,0.0,63.0,147.0,210.0
111,A000518100,OXYTETRACYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,2926.0,2614.0,5540.0
111,A000519100,TETRACYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,8.0,12.0,20.0
111,A000541100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,37.0,39.0,76.0
111,A000542100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,8.0,0.0,8.0
111,A000572100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 3.84-5.00 MG,11101,11112,0.0,0.0,0.0,2934.0,4617.0,7551.0
111,A000582221,CHLORPHENIRAMINE 0.6MG/ML + VITAMIN B2  2MG/ML + VITAMIN B6 2MG/ML + BIOTIN 100MCG/ML + GLYCYRRHIZIC ACID 2MG/ML¡A ª`®g¾¯¡A 5.00ML,11101,11112,0.0,0.0,0.0,135.5,400.6,536.1
111,A000582238,CHLORPHENIRAMINE 0.6MG/ML + VITAMIN B2  2MG/ML + VITAMIN B6 2MG/ML + BIOTIN 100MCG/ML + GLYCYRRHIZIC ACID 2MG/ML¡A ª`®g¾¯¡A 20.00ML,11101,11112,0.0,0.0,0.0,0.0,1.0,1.0
111,A000604151,DEXTROMETHORPHAN 2.5MG/ML + POTASSIUM CRESOLSULFONATE 15MG/ML¡A ¤ºªA²G¾¯¡A 60.00ML,11101,11112,24143.5,20347.4,44490.9,29351.4,24850.9,54202.3
111,A000605321,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM¡A ¥~¥Î³n»I¾¯¡A 5.00GM,11101,11112,0.0,0.0,0.0,2.0,0.0,2.0
111,A000647100,CYPROHEPTADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,11101,11112,0.0,0.0,0.0,1546.9,2208.4,3755.3
111,A000742199,CLOPERASTINE ¡A ¤fªAÁû²É¾¯ ¡A 177.00 MG,11101,11112,0.0,0.0,0.0,3642.0,5706.0,9348.0
111,A000749100,BELLADONNA ALKALOID 4MG + ALUMINUM HYDROXIDE 100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,11101,11112,0.0,0.0,0.0,17108.0,21616.9,38724.9
111,A000822157,DEXTROMETHORPHAN HBR  0.5MG/ML+ AMMONIUM CHLORIDE 2MG/ML+ CHLORPHENIRAMINE MALEATE  0.15MG/ML+METHYLEPHEDRINE DL- HCL  0.4MG/ML+ POTASSIUM GUAIACOLSULFONATE 6MG/ML¡A¤fªA²G¾¯¡A120ML,11101,11112,532.0,850.0,1382.0,1340.0,2142.0,3482.0
111,A000844100,MEPENZOLATE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 7.50 MG,11101,11112,0.0,0.0,0.0,30.0,9.0,39.0
111,A000849100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,52.0,96.0,148.0
111,A000862100,MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,11101,11112,0.0,0.0,0.0,162.0,194.0,356.0
111,A000895100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11101,11112,90.0,56.0,146.0,94.5,67.5,162.0
111,A000902100,INOSITOL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 200.00 MG,11101,11112,0.0,0.0,0.0,24.0,0.0,24.0
111,A000933100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11101,11112,0.0,0.0,0.0,69.0,139.0,208.0
111,A000985100,VITAMIN B1 50MG + VITAMIN B2 2-5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,11101,11112,0.0,0.0,0.0,37.0,0.0,37.0
111,A000998100,DIMETHICONE 36.7MG + ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,11101,11112,0.0,0.0,0.0,6280.0,9643.0,15923.0
111,A001001100,SERRAPEPTASE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11101,11112,0.0,0.0,0.0,6179.8,7608.1,13787.9
111,A0010011G0,SERRAPEPTASE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11101,11112,0.0,0.0,0.0,390.0,323.0,713.0
111,A001046100,MAGNESIUM OXIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,229976.6,346564.5,576541.1,446222.3,673363.3,1119585.6
111,A001047100,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,11101,11112,0.0,0.0,0.0,6.0,13.0,19.0
111,A0010471G0,FUROSEMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 40.00 MG,11101,11112,28.0,0.0,28.0,28.0,1.0,29.0
111,A001057100,GUAIFENESIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,11101,11112,0.0,0.0,0.0,9.0,18.0,27.0
111,A001059100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,11101,11112,0.0,0.0,0.0,0.0,18.0,18.0
111,A001068100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,0.0,30.0,30.0
111,A001085277,SODIUM CHLORIDE ¡A ª`®g¾¯ ¡A 9.00  MG/ML ¡A 500.00 ML,11101,11112,1.0,0.0,1.0,1.0,0.0,1.0
111,A001112100,METRONIDAZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,188.0,170.0,358.0
111,A001143100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11101,11112,0.0,0.0,0.0,0.0,1.0,1.0
111,A001155100,PHENOBARBITAL ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 30.00 MG,11101,11112,0.0,0.0,0.0,0.0,354.1,354.1
111,A001226100,PREDNISOLONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11101,11112,37068.5,38250.5,75319.0,61854.5,64247.0,126101.5
111,A001358100,AMINOPHYLLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,11101,11112,0.0,0.0,0.0,1335.1,964.5,2299.6
111,A001396100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,27.0,12.0,39.0
111,A001398100,NALIDIXIC ACID ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,11101,11112,571.0,688.0,1259.0,802.0,1507.0,2309.0
111,A001400100,DIPROPHYLLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,11101,11112,0.0,0.0,0.0,5790.9,5859.0,11649.9
111,A001413100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,11101,11112,0.0,0.0,0.0,20.0,0.0,20.0
111,A001426100,ALUMINUM HYDROXIDE ¡A ¤ºªA²G¾¯ ¡A 40.00  MG/ML ¡A 1.00 ML,11101,11112,0.0,0.0,0.0,5796.0,13020.0,18816.0
111,A001426199,ALUMINUM HYDROXIDE ¡A ¤ºªA²G¾¯ ¡A 40.00  MG/ML ¡A 1.00 ML,11101,11112,0.0,0.0,0.0,9.0,7030.0,7039.0
111,A001437277,AMPICILLIN ¡A ª`®g¾¯ ¡A 500.00 MG,11101,11112,45.0,41.0,86.0,54.0,42.0,96.0
111,A001446100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,11101,11112,0.0,0.0,0.0,173.2,162.4,335.6
111,A001448100,NOSCAPINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,11101,11112,73874.4,92179.8,166054.2,409996.5,503093.8,913090.3
111,A001532100,MEDAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 5.00 MG,11101,11112,0.0,0.0,0.0,12.0,372.0,384.0
111,A001584100,MAGNESIUM OXIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,32403.0,48520.0,80923.0,143211.9,206229.1,349441.0
111,A001598100,RESERPINE 100MCG + HYDRALAZINE 25MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯,11101,11112,0.0,0.0,0.0,9.0,0.0,9.0
111,A001599100,MEPIRIZOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 50.00 MG,11101,11112,0.0,0.0,0.0,9.0,0.0,9.0
111,A001604212,METOCLOPRAMIDE ¡A ª`®g¾¯ ¡A 10.00 MG,11101,11112,0.0,0.0,0.0,0.8,0.0,0.8
111,A001632100,MINOCYCLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,11101,11112,0.0,0.0,0.0,572.0,621.0,1193.0
111,A001641100,CYPROHEPTADINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 4.00 MG,11101,11112,0.0,0.0,0.0,5449.5,5796.0,11245.5
111,A001644100,DICYCLOMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 20.00 MG,11101,11112,0.0,0.0,0.0,18.0,408.0,426.0
111,A001646100,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,11101,11112,1248.0,1748.5,2996.5,1959.5,4360.0,6319.5
111,A0016461G0,DIAZEPAM ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 2.00 MG,11101,11112,2208.0,3395.5,5603.5,2262.0,3467.5,5729.5
111,A001662100,AMINOPHYLLINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 100.00 MG,11101,11112,0.0,0.0,0.0,1528.5,1825.5,3354.0
111,A001673100,CINNARIZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,11101,11112,0.0,0.0,0.0,0.0,45.0,45.0
111,A0016731G0,CINNARIZINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,11101,11112,0.0,0.0,0.0,9.0,0.0,9.0
111,A001691100,METOCLOPRAMIDE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 7.67 - 10.00 MG,11101,11112,0.0,0.0,0.0,9.0,0.0,9.0
111,A001707100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,11101,11112,0.0,0.0,0.0,8.0,8.0,16.0
111,A001713100,AMYLASE 10MG + DIASTASE 5MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,11101,11112,1384590.2,1559739.7,2944329.9,1397832.7,1567432.0,2965264.7
111,A001779100,DEXAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,11101,11112,0.0,0.0,0.0,10045.2,11619.3,21664.5
111,A001781100,BETAMETHASONE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MCG,11101,11112,0.0,0.0,0.0,442.0,689.0,1131.0
111,A001782100,CARBETAPENTANE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,11101,11112,2208.6,3903.2,6111.8,86258.4,110499.8,196758.2
111,A001793100,§tmethyl testosterone 10mg¡A³æ¡B½Æ¤è»s¾¯¡A¤@¯ë¿õ¾¯½¦Ån¾¯,11101,11112,0.0,0.0,0.0,24.0,267.0,291.0
111,A001816100,DICYCLOMINE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 10.00 MG,11101,11112,0.0,0.0,0.0,6.0,21.0,27.0
111,A001833229,DEXAMETHASONE ¡A ª`®g¾¯ ¡A 10.00 MG,11101,11112,0.0,0.0,0.0,24.9,70.0,94.9
111,A001850100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,117.0,94.0,211.0,1041.0,1024.5,2065.5
111,A001856100,ERYTHROMYCIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 250.00 MG,11101,11112,0.0,0.0,0.0,352.0,172.0,524.0
111,A001866100,AMPICILLIN ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 500.00 MG,11101,11112,1026.0,2387.0,3413.0,15655.0,17665.0,33320.0
111,A001881100,DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG¡A ¤@¯ë¿õ¾¯½¦Ån¾¯¡A,11101,11112,0.0,0.0,0.0,5313.0,7360.0,12673.0
111,A0019411G0,DIPYRIDAMOLE ¡A ¤@¯ë¿õ¾¯½¦Ån¾¯ ¡A 25.00 MG,11101,11112,0.0,0.0,0.0,18.0,25.0,43.0
