序號,藥品代碼,藥品名稱,成分名稱,成分含量,,劑型,規格量,,藥商名稱,分組名稱,"114年12月
現行調整大類
(註1)","分類
(註2)",藥品類別,"指示用藥
(註3)","115年12月31日
現行調整大類
(註4)","115年12月31日
新制調整大類
(註5)",專利到期日,備註
1,AC45183412,ZINE ORABASE 0.1%,DEXAMETHASONE,1,MG/GM,口內膏,2,GM,中生生技製藥股份有限公司淡水廠,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 2.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
2,AC45685412,NEO SMILE ORABASE,DEXAMETHASONE,1,MG/GM,口內膏,2,GM,元福國際股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 2.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
3,AC46136412,WETHYCO ORABASE  Y.C.,DEXAMETHASONE,1,MG/GM,口內膏,2,GM,元宙化學製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 2.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
4,AC46259412,DRXALINE ORAL PASTE 1MGGM,DEXAMETHASONE,1,MG/GM,口內膏,2,GM,台灣源山股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 2.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
5,AC48842412,Coenkasu Oralbase 1mg,DEXAMETHASONE,1,MG/GM,口內膏,2,GM,井田國際醫藥廠股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 2.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
6,AC58050412,Oracure Orabase,DEXAMETHASONE,1,MG/GM,口內膏,2,GM,人人化學製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 2.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
7,BC19122412,DEXALTIN ORAL PASTE,DEXAMETHASONE,1,MG/GM,口內膏,2,GM,台灣日化股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 2.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
8,AC22355419,COYENSU IN ORABASE (DEXAMETHASONE),DEXAMETHASONE,1,MG/GM,口內膏,4,GM,長安化學工業股份有限公司,DEXAMETHASONE ， 口內膏 ， 1 MG/GM ， 4 GM,三B,1,一般學名藥,N,三B,第三大類,,
9,A041691421,KODOLO ORABASE 0.1% (DEXAMETHASONE)  PANBIOTIC,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,臺灣汎生製藥廠股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,2,一般學名藥,N,三B,第三大類,,
10,AC31317421,ACOLON ORABASE 1MG/G (DEXAMETHASONE)  MEIDER,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,明德製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
11,AC37874421,EUXINC ORABASE 0.1%,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,美西製藥有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
12,AC40724421,KOSA ORABASE 0.1% STANDARD (DEXAMETHASONE),DEXAMETHASONE,1,MG/GM,口內膏,5,GM,生達化學製藥股份有限公司二廠,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
13,AC42271421,DEXA ORABASE 0.1%  SINPHAR  (DEXAMETHASONE),DEXAMETHASONE,1,MG/GM,口內膏,5,GM,杏輝藥品工業股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
14,AC43681421,SMILE ORABASE 1MG/GM  WINSTON,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,溫士頓醫藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
15,AC43699421,CORSUM ORALBASE 0.1% (DEXAMETHASONE),DEXAMETHASONE,1,MG/GM,口內膏,5,GM,合成藥品股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
16,AC45183421,ZINE ORABASE 0.1%,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,中生生技製藥股份有限公司淡水廠,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
17,AC45685421,NEO SMILE ORABASE,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,元福國際股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
18,AC46136421,WETHYCO ORABASE  Y.C.,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,元宙化學製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
19,AC46259421,DRXALINE ORAL PASTE 1MGGM,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,台灣源山股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
20,AC46605421,SUPERDEX ORABASE 0.1%,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,明則實業有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
21,AC48624421,Dema Orabase 0.1%  Patron,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,臺灣派頓化學製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
22,AC48842421,Coenkasu Oralbase 1mg,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,井田國際醫藥廠股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
23,AC56713321,Koulening Oralbase,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,仙台藥品工業股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
24,AC58050421,Oracure Orabase,DEXAMETHASONE,1,MG/GM,口內膏,5,GM,人人化學製藥股份有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
25,AC58640421,Koulele Orabase 1mg/g  SOUNLIN  (Dexamethasone),DEXAMETHASONE,1,MG/GM,口內膏,5,GM,松林藥品有限公司,DEXAMETHASONE ， 口內膏 ， 1.00  MG/GM ， 5.00 GM,三B,1,一般學名藥,N,三B,第三大類,,
